"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.07.2019","3.524,47","3.511,16","3.526,99","3.506,49","31,68M","0,41%"
"25.07.2019","3.510,15","3.538,27","3.573,57","3.491,77","52,07M","-0,64%"
"24.07.2019","3.532,90","3.533,30","3.537,71","3.520,84","28,72M","0,00%"
"23.07.2019","3.532,87","3.496,86","3.544,34","3.496,86","33,05M","1,23%"
"22.07.2019","3.489,92","3.478,77","3.498,69","3.476,43","29,01M","0,28%"
"19.07.2019","3.480,18","3.488,68","3.514,33","3.470,40","43,53M","-0,08%"
"18.07.2019","3.482,83","3.497,40","3.500,82","3.467,25","33,61M","-0,54%"
"17.07.2019","3.501,58","3.520,74","3.529,45","3.497,25","29,00M","-0,56%"
"16.07.2019","3.521,36","3.500,89","3.530,11","3.498,34","29,74M","0,55%"
"15.07.2019","3.502,22","3.497,99","3.517,84","3.483,17","24,41M","0,13%"
"12.07.2019","3.497,63","3.497,02","3.505,79","3.492,18","27,54M","0,03%"
"11.07.2019","3.496,73","3.506,33","3.515,77","3.493,77","28,16M","-0,14%"
"10.07.2019","3.501,52","3.508,54","3.523,60","3.497,74","32,31M","-0,23%"
"09.07.2019","3.509,75","3.522,27","3.522,27","3.492,18","31,26M","-0,40%"
"08.07.2019","3.523,76","3.525,21","3.531,47","3.514,41","27,73M","-0,12%"
"05.07.2019","3.527,98","3.542,23","3.544,02","3.514,25","32,99M","-0,46%"
"04.07.2019","3.544,15","3.541,85","3.549,26","3.537,35","37,79M","0,10%"
"03.07.2019","3.540,63","3.507,70","3.540,63","3.507,70","42,94M","0,93%"
"02.07.2019","3.507,98","3.498,93","3.511,13","3.491,44","29,39M","0,30%"
"01.07.2019","3.497,59","3.476,08","3.519,98","3.476,08","31,31M","0,69%"
"28.06.2019","3.473,69","3.442,39","3.476,93","3.442,39","35,34M","0,91%"
"27.06.2019","3.442,38","3.444,36","3.454,21","3.424,68","32,94M","-0,02%"
"26.06.2019","3.442,95","3.444,28","3.460,16","3.434,33","32,74M","-0,04%"
"25.06.2019","3.444,36","3.454,31","3.454,31","3.440,06","28,18M","-0,32%"
"24.06.2019","3.455,57","3.466,38","3.473,75","3.449,19","28,75M","-0,33%"
"21.06.2019","3.466,92","3.468,73","3.496,79","3.459,04","82,06M","-0,03%"
"20.06.2019","3.468,08","3.460,10","3.487,00","3.460,10","51,00M","0,39%"
"19.06.2019","3.454,70","3.454,52","3.457,37","3.444,12","38,99M","0,05%"
"18.06.2019","3.452,89","3.381,50","3.458,91","3.366,87","51,50M","2,06%"
"17.06.2019","3.383,21","3.382,45","3.393,89","3.375,80","24,96M","0,12%"
"14.06.2019","3.379,19","3.388,78","3.388,78","3.363,07","27,21M","-0,33%"
"13.06.2019","3.390,50","3.384,32","3.401,72","3.373,68","29,11M","0,11%"
"12.06.2019","3.386,63","3.398,58","3.398,58","3.376,45","31,07M","-0,43%"
"11.06.2019","3.401,10","3.386,73","3.418,18","3.386,73","32,62M","0,43%"
"10.06.2019","3.386,45","3.381,52","3.391,37","3.379,67","20,07M","0,24%"
"07.06.2019","3.378,38","3.341,33","3.391,05","3.341,33","32,97M","1,20%"
"06.06.2019","3.338,41","3.341,29","3.370,80","3.326,90","42,80M","-0,05%"
"05.06.2019","3.339,95","3.334,40","3.355,69","3.326,93","34,49M","0,19%"
"04.06.2019","3.333,49","3.293,63","3.338,08","3.275,20","43,96M","1,01%"
"03.06.2019","3.300,22","3.274,97","3.300,22","3.248,54","36,05M","0,60%"
"31.05.2019","3.280,43","3.312,41","3.312,41","3.258,04","50,88M","-1,14%"
"30.05.2019","3.318,15","3.301,51","3.323,72","3.301,51","27,51M","0,62%"
"29.05.2019","3.297,81","3.337,38","3.337,38","3.288,52","39,71M","-1,52%"
"28.05.2019","3.348,86","3.364,23","3.369,91","3.337,77","54,25M","-0,45%"
"27.05.2019","3.364,04","3.350,60","3.380,85","3.350,60","20,19M","0,40%"
"24.05.2019","3.350,70","3.330,99","3.365,58","3.330,99","36,32M","0,71%"
"23.05.2019","3.327,20","3.378,48","3.378,48","3.323,70","46,79M","-1,76%"
"22.05.2019","3.386,72","3.384,92","3.396,87","3.359,60","37,22M","0,01%"
"21.05.2019","3.386,51","3.371,26","3.395,91","3.370,38","38,71M","0,50%"
